steel,alloyCode,hEntry,hExit,wEntry,policyNo,WRB1,WRB2,WRB3,WRB4,WRB5,IRB1,IRB2,IRB3,IRB4,IRB5,IRS1,IRS2,IRS3,IRS4,IRS5,iu_mean,iu50_mean,iu100_mean,rf_mean_1,rf50_mean_1,rfMid_mean_1,rf_mean_2,rf50_mean_2,rfMid_mean_2,rf_mean_3,rf50_mean_3,rfMid_mean_3,rf_mean_4,rf50_mean_4,rfMid_mean_4,rf_mean_5,rf50_mean_5,rfMid_mean_5,C40_average
H123A31505400,M4A16,3.368,0.654,1303.699951,32330,0.613553227842742,0.6325575945524193,0.6432588023447582,0.6458078178830645,0.21448270592338706,0.5624856356281017,0.5190413239880584,0.5309089220502482,0.5016888465617245,0.4287733259739454,0.12932880711658176,0.02084097340124504,-0.1275006364601019,-0.19068767504951897,-0.4954710124717034,1.3935887096774193,2.8982857142857137,2.4781500000000003,12990.563496260082,11912.578996964285,13133.259247801152,12474.25550103226,12534.967703642857,12429.37872050432,10914.88788827621,11758.105433928575,10737.729177005765,9596.93385558871,9771.812813785715,9561.53790579827,3921.407334846774,3921.2610212142863,3920.8504149423634,52.48837661743164
H123A21401500,M4A13,3.368,0.645,1296.5,32220,0.666999557029885,0.684529301229885,0.7473769927195403,0.7361152902321839,0.35507936991034483,0.6382682163244916,0.550164423091954,0.6207758551609195,0.604883074127321,0.4277717870725022,0.25889582447267595,0.13129147065940713,-0.022517281685823752,-0.07676999365194595,-0.3869380138011696,1.0333379310344826,3.0480714285714288,2.4612380952380954,12753.701378409196,12191.28700467857,12921.877936081966,11944.009610694253,12362.443952214287,11848.231538134425,11252.59170931954,11808.368198964288,11077.674068255737,9620.815589073565,10320.72760882143,9472.430433527868,4606.917117885057,4606.399605785714,4606.5939052852455,69.49119567871094
H123A24301500,M4A13,3.368,0.693,1303.0,32330,0.581661447843882,0.6371051461118142,0.7434866896329114,0.7151654215548523,0.3357209304388186,0.7474582689694905,0.6130851299350861,0.6371628527726387,0.5778978278846154,0.46232025602564103,0.33957783494707233,0.21913087081205126,0.07222022373972908,0.019642090436005625,-0.28600273745651045,1.077282700421941,1.7530000000000001,1.6075714285714287,12683.306428409283,11845.592006107141,12819.268136990964,11729.010944099158,12216.511928035714,11650.439673737952,11122.689570559072,11853.351039428573,10978.79089503012,9439.410720774264,10006.940708714288,9337.977039036145,4507.563513637131,4509.457589214287,4507.391603036145,54.07447814941406
HD13A12100200,M3A33,3.368,0.721,1280.800049,12320,0.6526079660801394,0.6884878359233448,0.7152788536933798,0.7181395518710801,0.38380262050871083,0.6819166444652909,0.6173221618654515,0.5912018293419995,0.6074938673599571,0.4941362966764943,0.38883819299468186,0.30849330553212295,0.15764667631273308,0.08478085398863011,-0.3816828675591418,0.9805505226480836,1.9319285714285714,1.591136363636364,12190.202005519164,10852.30702432143,12296.485516751243,10689.112188972127,10407.542271214286,10740.160705238806,9449.452247121952,10192.760567749998,9399.756855373134,8737.528347501742,8978.103620285714,8772.399603522388,4305.143580202091,4308.094499928571,4305.095980054727,
H123A21305200,M3A33,3.368,0.741,1223.199951,12320,0.6529148920758018,0.6928263096151602,0.7142668569241983,0.7195743819329447,0.3527618050466472,0.6947305352007176,0.6321829614352994,0.6073458387867235,0.6077213830959857,0.5700322005247813,0.3922815287402179,0.31853326983785996,0.16352421653112373,0.08717047559715617,-0.3875844689785689,0.8431574344023323,1.6499285714285714,1.461047619047619,12397.501489040815,11950.58750692857,12406.535656729166,10796.464801049564,11053.692975678572,10741.1473348125,9594.245766317785,10420.16078407143,9525.601245108332,8749.272515017494,9396.212332500001,8702.979683425,4305.042107527697,4304.868983607143,4304.914538629167,31.577438354492188
H123A17501900,M3A21,3.368,0.647,1210.099976,32220,0.6727571311758621,0.7230521648982758,0.760417829524138,0.752704489512069,0.5621117656741379,0.6514577589761272,0.7007518164801061,0.6351198766876657,0.6299121999568965,0.40974498536803716,0.41233871698729585,0.3762408316938899,0.2638704189473684,0.20159171162734424,-0.32169407388384763,2.0137310344827584,3.880928571428572,3.6252500000000003,11950.331014289655,10746.635532928569,12155.175451736455,12414.577409415519,11368.031877785714,12522.237634224139,10407.079327210344,11067.843122142858,10291.245085950739,10229.270977598275,10688.482421892857,10206.048650157636,4153.857065758621,4151.902099642857,4153.716866625615,35.868404388427734
H123A17102600,M4A15,3.368,0.631,1169.699951,32220,0.6297146792488336,0.6229609352301712,0.6137364101275272,0.5986140390917574,0.36362929685069983,0.4944602281175979,0.4734640250598157,0.5671562634842685,0.5066000352613949,0.45891416039598043,0.38957278228697717,0.35258219006848385,0.24394865298081908,0.18471015815121006,-0.30611661017707564,0.9089393468118195,2.3269999999999995,1.9065714285714284,10530.59319718196,11081.3734655,11217.279550775555,9718.099184121307,10907.775076785712,10486.403956159998,8846.887370286158,10713.727015857143,9630.215703108888,7603.614787863142,9024.062011785714,8376.845468755555,3950.393803771384,4115.548165464285,4116.789790048889,41.74822998046875
H123A15703400,M4A13,3.368,0.633,1170.5,32220,0.6404921853676149,0.666509636214442,0.6451246546389496,0.6211960780306345,0.4794859232472648,0.6848939924785389,0.5617319529439487,0.5302212502364921,0.5691396031955899,0.40373044958929477,0.4140354717954625,0.4138067522745594,0.37340603778264053,0.27694998254827446,-0.31901684913816264,1.0719037199124726,1.712153846153846,1.6220526315789474,11493.651796695842,10881.505859346154,11593.5043273875,10423.639135575493,10907.837139423076,10344.814038075001,9348.150243181619,10273.559157115385,9218.544461075,8201.638288319476,8912.986440807694,8089.1009842125,4108.9216314223195,4110.759624769231,4109.21621631875,47.754539489746094
HD13A11600300,M4A13,3.368,0.619,1176.099976,32220,0.570988207404157,0.6172773371385681,0.5884809821200924,0.5608635776836027,0.37354153767667436,0.5651471859113519,0.5068742617036774,0.45755523329099307,0.4941227102185113,0.41823811124622495,0.36048936459624814,0.3832241024917952,0.34063619412503554,0.2500869528463191,-0.2865944637899599,0.8586304849884527,1.7661666666666669,1.4857222222222224,10034.487381360277,10516.807657833333,11353.221173673266,9529.269644006929,10391.516113208332,10274.345374366336,8273.90283091224,9959.617390958332,8977.19908338614,7216.877133549653,8577.044921875,7945.758254046203,3692.074491625866,4107.0113626249995,4109.274551841584,
H123A17102700,M4A15,3.368,0.645,1170.599976,32220,0.6276278653659942,0.6290425525734871,0.6118645450432276,0.5260153146368877,0.34551963631123916,0.8625544579516737,0.676219398669918,0.5835024931766792,0.5739075872101529,0.42197726433052535,0.41403862739268926,0.4138077795844077,0.3919465093887456,0.2753553781283179,-0.21445189343242832,0.767193083573487,1.9849166666666669,1.5420000000000003,11561.782792230548,11001.7432455,11585.071747193415,10339.95004898271,10637.903279625001,10303.708618683127,9447.635294711816,10203.320312416667,9396.335837032922,8272.107804613832,8901.919148791667,8274.332111600823,4041.449944827089,4113.775197333333,4111.858582271605,47.515892028808594
H123A17804700,M4A13,3.368,0.645,1165.599976,32220,0.4916037846565217,0.5227156765217391,0.564377075602174,0.5648867984913043,0.37772126996956523,0.7482518441187291,0.6092300694740803,0.5171238826881271,0.5032164925167224,0.5122937107675586,0.4140347062547675,0.4135839129672006,0.3701668953394355,0.25390198577421813,-0.3117032770404271,0.836386956521739,1.7904166666666665,1.5007368421052634,11228.641104780436,10652.56457525,11373.291118742236,10237.316053836958,10658.073242166667,10181.766137546585,9366.29996602174,10382.232177708333,9225.04982287267,8257.970923908695,8816.296101875,8186.692775571427,4094.6402083847825,4097.954996708334,4094.6399153416146,40.36872863769531
H123A21403500,M4A13,3.368,0.655,1173.099976,32320,0.6448566715650118,0.5601021002742317,0.6351183354751774,0.602235957,0.36223476140661937,0.7756464300072741,0.6115262267685033,0.5237684806001092,0.5388085633342425,0.4477794130414621,0.4140336772925222,0.41357895789473675,0.3701658996225789,0.2527004288913774,-0.30728040693459413,0.8190307328605201,1.6039999999999999,1.4337368421052628,11488.043070359337,10988.718383875,11562.971956841217,10256.681331281323,10577.842814124999,10231.279267199325,9428.36140431442,10446.175252374998,9332.309903523648,8322.75416021513,9009.4151205,8315.261619787163,4036.136465371158,4093.7612304166664,4094.4226560912166,41.20193862915039
H123A15704400,M4A13,3.368,0.644,1174.199951,32220,0.5975533874318841,0.5688982578434784,0.5907102080985508,0.5710034945710145,0.40999329625797093,0.7735076792697883,0.5594003209397993,0.46726544292084726,0.4757167834024526,0.38244410826198444,0.39963508810577175,0.38501520789219423,0.357775438189677,0.24795871191456906,-0.20958403397915076,0.971344927536232,1.9818461538461538,1.7008000000000003,10936.417150692752,10752.79541026923,11348.015451458677,9308.864806968117,10225.857684807694,9971.98862023554,8329.650127405797,9897.541992192306,9042.190300582643,7310.499234295653,8620.705040615383,8120.613676690083,4077.085958730435,4075.0687255000003,4077.656279289256,49.968719482421875
H223A25101300,M4A13,3.368,0.634,1163.099976,32220,0.6222499057457627,0.6020499252561204,0.6514196169303201,0.6421358361016949,0.3601975366591337,0.679500939589309,0.7234786734926844,0.5445663821345792,0.5912133360191222,0.3891238212856729,0.4140332371493707,0.40601196324710076,0.38176277769187555,0.27694697594740153,-0.2064493355667889,0.8320188323917138,1.8993846153846154,1.6208500000000001,11702.68157624482,11210.43780046154,11757.627471665768,10464.075338772129,11074.60265173077,10609.793887415095,9591.650918450094,10437.909968538463,9543.566050905662,8747.448130003766,9181.532189076923,8750.93454661725,4076.6527920094163,4080.1467943076923,4076.140530865229,59.4289530000
H123A22004200,M3A21,3.368,0.702,1152.800049,32320,0.7542823656588629,0.7197882586237458,0.7594079732759198,0.7723556857508361,0.5649656614866221,0.6663393624852071,0.6093379914484178,0.5540314565500386,0.592788399268073,0.37408643584705425,0.4140386089303526,0.4023855541336619,0.3092802346241859,0.26478524987971597,-0.32453452673825034,1.6194515050167224,2.802857142857143,2.702095238095238,11361.405052966556,10315.204589785715,11455.244975023867,11555.590897056856,10719.373116678571,11573.781585618139,9648.757226225753,10151.676374214285,9553.475963484487,9486.208229916389,9706.396519321428,9452.9279394821,3920.122310782609,3919.416390571428,3920.2330156205253,43.562660217285156
H123A22004100,M3A21,3.368,0.688,1113.400024,32320,0.7543541705424837,0.7195834024923747,0.7600402406448801,0.772968193087146,0.5682830957559912,0.6988415875104742,0.6443244437213005,0.5606421889567623,0.5925058824761187,0.37530580761102733,0.4140346290715898,0.4023735020754501,0.30927791295340745,0.26495371496388026,-0.324534568069411,1.6576470588235295,2.591928571428572,2.524142857142857,11658.775011908496,10277.547816678574,11699.070879624223,11876.248370283225,10797.61049107143,11855.706072897516,9704.24479804793,10263.01381142857,9629.082746996894,9477.840518172112,9732.21407642857,9455.591808968944,3919.361479705882,3921.490408785714,3919.558662726708,36.45579147338867
H123A22004300,M3A21,3.368,0.707,1112.5,32320,0.754330112668639,0.7196533336706115,0.7599557564970414,0.7729223885424064,0.5405778221104537,0.6800218193005614,0.624308432140798,0.5435379924290699,0.5658372207495068,0.3475543643969049,0.4140352261600749,0.40237364368317236,0.3092772080348801,0.264955603847884,-0.3245375233952732,1.4318520710059173,2.899692307692308,2.632315789473685,11481.15230714004,10152.446176423078,11577.946583391547,11686.942723739647,10639.713266192306,11715.082353101407,9547.774265743592,10137.680513884618,9463.591084383097,9230.763619865878,9562.969764038462,9191.327935188734,3919.9678870907296,3923.8345101153845,3919.885212653521,46.70124435424805
H123A16604300,M4A13,3.368,0.64,1115.900024,32220,0.7948400935991092,0.7825385463518932,0.7624078503853007,0.7995407386971047,0.3352210806124722,0.7552641829818401,0.6202759906921365,0.5526852223034092,0.5489408509876649,0.4815774150873736,0.4140346969093113,0.41357895789473686,0.37016496614699335,0.25390489844097996,-0.23160341081545738,1.2558953229398662,2.192076923076923,1.7281785714285713,10858.256226930958,10636.491962076921,10839.954458063492,9791.293073151448,10267.003868615384,9744.392717644445,8786.835619966592,9671.466909576924,8723.414636057143,7762.333730959911,8404.071176307692,7740.95761404762,3909.829663772828,3904.223538961538,3910.53805335873,61.18363571166992
H123A27002300,M4A13,3.368,0.632,1115.800049,32220,0.7891308141763158,0.7769635127144738,0.7589649016302632,0.7981039034486842,0.4002641711855264,0.7629735083375505,0.6187865627105263,0.5734979251791499,0.5800199038841094,0.4326235113137652,0.4113109417820869,0.41085804369806095,0.3687116335872576,0.25356994733148663,-0.23159280052169898,1.0294,3.0636153846153844,2.4323684210526326,10907.948557002632,10879.4819335,11145.302939973684,9767.252865444736,9996.201096769231,9825.847558964286,8997.716686375,9518.683518653846,8869.294250039475,8071.872142905264,8403.456768384616,8001.781580390976,3909.9308211315793,3908.4383638461536,3909.524839451128,58.15068817138672
H123A13803100,M4A13,3.368,0.647,1096.400024,32210,0.8067064630471311,0.7670082366454919,0.7336014692028688,0.7953927157008196,0.4063514257233606,0.7709916040558008,0.6948927104058953,0.5870997811065574,0.5696885708015449,0.3631075555319988,0.41403609463618074,0.4138245684210525,0.39206902502157026,0.2769528350805292,-0.1854801562266322,1.0853975409836065,2.5210000000000004,2.0859523809523814,11233.72312652459,10741.703194785716,11341.868632362573,10154.477318956968,10681.05189742857,10087.908345926902,8960.888347700818,9920.13581192857,8778.467159526317,7787.694773178278,8382.844029000002,7723.332762233918,3885.2813445307374,3885.9785854285715,3885.5337413479533,47.443641662597656
H123A30306500,M4A16,3.368,0.748,1089.5,32310,0.8467984615362776,0.8238491813880127,0.7771897927823344,0.760972956615142,0.228563551933754,0.7341911277723852,0.6747909001565154,0.5524982966124727,0.5651884508116962,0.44454251580562965,0.41403331668603693,0.4140350877192983,0.411288395174055,0.30000586710941396,-0.24522607460291107,1.2656151419558357,2.274857142857143,1.9277619047619043,11950.980209981073,11007.320940321428,11956.631800734232,10916.295042018928,10856.43676757143,10906.804177225227,9429.502600063091,10224.122628357143,9368.445545639639,8300.99017122713,8674.547781750001,8300.781568945946,3847.9256749747633,3847.7795236071433,3848.091331693694,
H123A26607100,M4A17,3.368,0.69,1091.800049,32310,0.8467510642447817,0.8239236348121443,0.7771459309127133,0.7609093182182164,0.45764651779316884,0.619812386252372,0.6010974875704276,0.5249097852970369,0.5203187326908482,0.3586694034272369,0.4140442097606446,0.41403508771929837,0.4112857296048471,0.30000093202836314,-0.24522060852891248,1.1350094876660342,2.116,1.8684285714285715,10821.333863925996,10156.29394532143,10961.587980609756,9660.84655924668,10055.86872207143,9604.84480597561,8726.158223508539,9671.407714928571,8562.715219552845,7439.145685719165,8041.894025607143,7348.881662604336,3830.1216431555977,3828.969970607143,3830.005230796748,43.12873840332031
H123A13805000,M4A13,3.368,0.667,1088.5,32310,0.8516073524779582,0.7908209916728537,0.7574855651206497,0.7440713032250579,0.468259929763341,0.6311219554738533,0.5518025883232197,0.5159301776289488,0.5338122145734427,0.37448006156255575,0.41402328255790294,0.41403508771929837,0.4140238539015754,0.2974609826840883,-0.24192811159685756,1.1643457076566124,1.9396428571428572,1.778809523809524,10942.858162802782,10463.962820857143,11000.07158430897,9794.9548062413,10092.251953142859,9757.936763518273,8786.068767215778,9742.55018832143,8676.80817198339,7495.43587312993,7995.30092075,7466.412944774086,3794.2606872412994,3798.3334525714286,3793.7343084916947,48.08488845825195
HB13A11508000,M4A13,3.368,0.645,1081.900024,32210,0.8516239403995679,0.7907114866760259,0.7574093750453563,0.744025235989201,0.45715710341036714,0.65589370345157,0.555630553398405,0.47612292671955475,0.5045275238087722,0.3787079782272803,0.4140795705505665,0.4140350877192984,0.4140695682694859,0.2973994934788375,-0.24227956787541208,1.2117386609071277,1.8431428571428567,1.6856666666666664,10890.977439928727,10137.044642892855,11007.005995003086,9846.580757298056,10138.917271107142,9795.89177337963,8669.05154688337,9427.002301892857,8498.629560283951,7422.023236069114,7803.23444475,7364.12965675,3793.150053155508,3794.341151678571,3792.8328028487654,
HB13A11809800,M4A13,3.368,0.638,1084.199951,32210,0.8121460635014492,0.7264866497391304,0.678386240231884,0.6577318318811595,0.45529092689275363,0.6764376716120402,0.5333088954481606,0.4608452121282052,0.4848558941638796,0.3310265229375697,0.3948228829595729,0.38043224002034076,0.37083752775997963,0.2629588604830918,-0.21107185021103483,1.40231884057971,2.627785714285715,2.2096666666666667,10463.302120095652,10478.117013107143,11039.291842830578,8870.595122886956,9752.00927742857,9659.483955363636,7514.046775927536,8990.709507607144,8318.094185822314,6590.3711928115945,7842.957920535714,7418.445611107439,3511.973010779711,3798.3612147857134,3797.7152502933886,
H123A14807200,M4A13,3.368,0.711,1084.599976,32310,0.8395493005882353,0.8323488088752942,0.8201496056541177,0.8237717351247059,0.43064283788941177,0.7412251734371041,0.586352164122172,0.5300402573538462,0.5412913426226245,0.4367164353638009,0.4140351702951497,0.41403459226419004,0.4138348814530444,0.29745898709597524,-0.2419193374778122,1.2236752941176472,3.4376666666666664,2.8538571428571426,10393.767918225883,10108.02552086667,10417.766277157718,9055.468384672942,9418.668294333334,9008.251297731544,8016.862682661175,8605.669596366666,7941.292198624162,7095.907599931765,7679.156070933332,7066.995729979867,3718.209211270588,3712.904777,3718.6887534563757,56.144657135009766
H123A13805700,M4A13,3.368,0.636,1058.900024,32210,0.8389514713113773,0.8328216259361276,0.8203861218083832,0.8246602353193613,0.4453679143033932,0.7383896164056504,0.6055560522009825,0.5475559715660985,0.55301931827115,0.38144778066405655,0.4140348075217986,0.41403508771929837,0.41403466771719727,0.2974518319641419,-0.24192568837763068,1.0245469061876247,2.1475333333333335,1.909227272727272,10348.0233459002,9781.2067058,10456.432301911429,9228.949450708584,9613.0226237,9162.785312502858,8179.989526826346,8905.854231733332,8042.171291877143,7210.765035349301,7652.487776633334,7142.044610762857,3716.9959217285427,3718.431070966667,3717.2260282057146,42.89866638183594
H123A13806000,M4A13,3.368,0.635,1065.400024,32210,0.8390166427394209,0.8142765406391982,0.7912742762338529,0.7842652406881961,0.4355028062427617,0.7445637408369025,0.5951223517988693,0.5363582251524756,0.5207711573942093,0.3290238585831763,0.41403493139530345,0.4048202255616772,0.3992805850974876,0.2828743001914586,-0.2279166910874067,0.989619153674833,2.3088571428571427,1.9979047619047616,10408.600303200445,10047.98685132143,10438.2749318,9048.152228465478,9488.019008142857,9222.041976676192,7962.460995097995,9119.047084249998,8168.3573303809535,6806.951577518931,7714.988682357143,7125.5707589396825,3502.679540703786,3717.101257321429,3718.0042720952383,46.595550537109375
H123A13807200,M4A13,3.368,0.654,1039.699951,32310,0.8516580251928166,0.7787548191398866,0.7344420740510397,0.7132889249659735,0.47623282936862005,0.6799204933001308,0.6137202829627744,0.4868310716366148,0.5409795732506907,0.344355280640541,0.4140309760222864,0.40777262606042525,0.4015099662587471,0.2850763780055052,-0.2309374174907969,1.0692570888468809,2.824785714285713,2.299521739130434,10488.79955547259,10139.236084,10490.079309504044,9295.622291822307,9856.959088964284,9404.214899008086,7972.723471283553,9070.809884249999,8147.68791983558,7077.400757092627,7772.305193214285,7392.702265595688,3480.4262109243855,3647.7179216785726,3646.392899916442,50.431053161621094
H123A13807500,M4A13,3.368,0.647,1040.199951,32210,0.8515973968834498,0.7907170764475523,0.7574332798811189,0.7405724006480188,0.4610747718228439,0.6833828839949795,0.6168587339142908,0.5106918947292451,0.5243703189985656,0.37273255122019006,0.4140357413650677,0.41403508771929837,0.4140351697542224,0.2960642053653948,-0.2396549288921605,1.0506806526806527,2.3675,2.0145714285714287,10517.018846074592,10138.826415964286,10514.222036581396,9337.71660337296,9811.180175821428,9282.576544953487,8297.09016013986,9133.430419892857,8203.24549351163,7000.265897030302,7669.175763892856,6992.387552561461,3612.940964634033,3647.7785035357147,3647.0831270498343,48.610965728759766
H123A13807000,M4A13,3.368,0.643,1040.699951,32210,0.8516062561478991,0.7907285434134453,0.7574070914789915,0.7440199188,0.49209563664873945,0.688570238014221,0.6272049882417582,0.5076977103555268,0.5537554415675501,0.35585673037297993,0.41402736316674044,0.4140360904260652,0.4140349106059266,0.2974505682559339,-0.2419097124753059,1.1060436974789916,3.6659999999999995,2.995238095238095,10566.771581210083,10154.274772033334,10641.769631956833,9436.449404216806,9890.440982966666,9361.058373623502,8272.714163440338,9147.651139333331,8138.425816378898,7286.39083674958,7709.5539063333335,7236.06569901199,3647.1997985428575,3645.7597573999997,3648.203386721823,51.3892707824707
H123A13806700,M4A13,3.368,0.644,1041.0,32210,0.7141846610169851,0.642952992193206,0.6030392608980891,0.582969844104034,0.3712622059936306,0.5688432076473952,0.4989397278335784,0.3992655746170178,0.4114911473909848,0.2893315872889107,0.3472287409095988,0.33667821358066086,0.3296478569449101,0.23303274150556855,-0.187468840138563,1.0563630573248408,2.519214285714285,2.1355714285714287,8783.152132265392,10096.543736071428,10541.20234137082,7566.785015259023,9714.730399000002,9255.31125925532,6538.226493038217,8952.586181642857,8099.463705419453,5500.825003509554,7660.612531392858,6802.971044462007,2826.149416653928,3648.849958142858,3524.5659929179333,47.87223434448242
H123A13806600,M4A13,3.368,0.648,1039.199951,32210,0.7728378107934067,0.707298133265934,0.6641860352967033,0.6425860773890111,0.42271592715824174,0.6718997764530853,0.5522490597548606,0.4454161782510566,0.46242589496787834,0.32188087161284873,0.38130086770773086,0.3703566608829768,0.3630791594524774,0.256915597686524,-0.20771289433583964,1.1434329670329668,3.7660000000000005,3.0001904761904763,9704.516687417583,10037.083844857145,10596.506591031348,8358.497332134066,9875.631835857143,9285.68284983699,7256.449450558242,9076.802664714285,8186.517054642633,6144.960719646153,7705.016183000001,7062.467386178684,3135.293210208791,3648.3453455714293,3648.2782797586206,52.64774703979492
H123A13807700,M4A13,3.368,0.644,1042.0,32210,0.7934773298410758,0.8120452445305625,0.8052073568948657,0.7752250674889976,0.4498728362909536,0.6735433384370886,0.630673112967839,0.5595313261077675,0.5805431757043445,0.4217167258707918,0.41405250343585126,0.4140341438510703,0.4140377482520482,0.29744983521640284,-0.2419262162999185,1.227760391198044,3.805428571428571,2.9756666666666667,10451.579839344742,9911.241489964286,10466.49267405575,9286.243971090464,9651.170340392859,9238.749574655052,8267.605335058679,9078.532226642857,8177.403609550524,7062.148874422983,7540.554931571428,7049.76693330662,3590.5284020855743,3586.6649170357146,3591.403259905923,45.95139694213867
H123A12701300,M4A13,3.368,0.685,1024.699951,32310,0.8244598548763558,0.8130411827049892,0.8119449550303688,0.8364044234338396,0.408519461208243,0.7767497859636243,0.5953718267211747,0.5118246068354748,0.6293406728416486,0.5433459841256466,0.4140301399931499,0.4140350877192984,0.4140301406933821,0.29744849147924035,-0.2419304298512007,1.0989587852494578,2.4978000000000002,2.1495238095238096,10074.165401316703,9742.02109373333,10140.44516695652,8802.32571748156,9185.490332099998,8749.09336178882,7737.283169240781,8519.025032533333,7589.082181397516,6884.279504457701,7245.756315133333,6817.84506167702,3549.1835106030367,3552.6031169,3549.075401552795,51.649688720703125
